date,year,month,dayofmonth,dayofweek,dayofyear,weekofyear,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,year_weekofyear
12/30/1900,1,1,1,2,1,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,101
12/31/1900,1,1,2,3,2,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,101
1/1/1901,1,1,3,4,3,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,101
1/2/1901,1,1,4,5,4,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,101
1/3/1901,1,1,5,6,5,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,101
1/4/1901,1,1,6,0,6,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102
1/5/1901,1,1,7,1,7,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102
1/6/1901,1,1,8,2,8,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102
1/7/1901,1,1,9,3,9,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102
1/8/1901,1,1,10,4,10,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102
1/9/1901,1,1,11,5,11,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102
1/10/1901,1,1,12,6,12,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102
1/11/1901,1,1,13,0,13,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,103
1/12/1901,1,1,14,1,14,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,103
1/13/1901,1,1,15,2,15,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,103
1/14/1901,1,1,16,3,16,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,103
1/15/1901,1,1,17,4,17,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,103
1/16/1901,1,1,18,5,18,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,103
1/17/1901,1,1,19,6,19,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,103
1/18/1901,1,1,20,0,20,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104
1/19/1901,1,1,21,1,21,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104
1/20/1901,1,1,22,2,22,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104
1/21/1901,1,1,23,3,23,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104
1/22/1901,1,1,24,4,24,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104
1/23/1901,1,1,25,5,25,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104
1/24/1901,1,1,26,6,26,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104
1/25/1901,1,1,27,0,27,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,105
1/26/1901,1,1,28,1,28,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,105
1/27/1901,1,1,29,2,29,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,105
1/28/1901,1,1,30,3,30,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,105
1/29/1901,1,1,31,4,31,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,105
1/30/1901,1,2,1,5,32,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,105
1/31/1901,1,2,2,6,33,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,105
2/1/1901,1,2,3,0,34,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,106
2/2/1901,1,2,4,1,35,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,106
2/3/1901,1,2,5,2,36,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,106
2/4/1901,1,2,6,3,37,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,106
2/5/1901,1,2,7,4,38,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,106
2/6/1901,1,2,8,5,39,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,106
2/7/1901,1,2,9,6,40,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,106
2/8/1901,1,2,10,0,41,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,107
2/9/1901,1,2,11,1,42,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,107
2/10/1901,1,2,12,2,43,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,107
2/11/1901,1,2,13,3,44,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,107
2/12/1901,1,2,14,4,45,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,107
2/13/1901,1,2,15,5,46,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,107
2/14/1901,1,2,16,6,47,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,107
2/15/1901,1,2,17,0,48,8,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,108
2/16/1901,1,2,18,1,49,8,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,108
2/17/1901,1,2,19,2,50,8,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,108
2/18/1901,1,2,20,3,51,8,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,108
2/19/1901,1,2,21,4,52,8,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,108
2/20/1901,1,2,22,5,53,8,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,108
2/21/1901,1,2,23,6,54,8,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,108
2/22/1901,1,2,24,0,55,9,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,109
2/23/1901,1,2,25,1,56,9,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,109
2/24/1901,1,2,26,2,57,9,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,109
2/25/1901,1,2,27,3,58,9,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,109
2/26/1901,1,2,28,4,59,9,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,109
2/27/1901,1,3,1,5,60,9,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,109
2/28/1901,1,3,2,6,61,9,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,109
3/1/1901,1,3,3,0,62,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,110
3/2/1901,1,3,4,1,63,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,110
3/3/1901,1,3,5,2,64,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,110
3/4/1901,1,3,6,3,65,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,110
3/5/1901,1,3,7,4,66,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,110
3/6/1901,1,3,8,5,67,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,110
3/7/1901,1,3,9,6,68,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,110
3/8/1901,1,3,10,0,69,11,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,111
3/9/1901,1,3,11,1,70,11,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,111
3/10/1901,1,3,12,2,71,11,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,111
3/11/1901,1,3,13,3,72,11,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,111
3/12/1901,1,3,14,4,73,11,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,111
3/13/1901,1,3,15,5,74,11,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,111
3/14/1901,1,3,16,6,75,11,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,111
3/15/1901,1,3,17,0,76,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112
3/16/1901,1,3,18,1,77,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112
3/17/1901,1,3,19,2,78,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112
3/18/1901,1,3,20,3,79,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112
3/19/1901,1,3,21,4,80,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112
3/20/1901,1,3,22,5,81,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112
3/21/1901,1,3,23,6,82,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,112
3/22/1901,1,3,24,0,83,13,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,113
3/23/1901,1,3,25,1,84,13,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,113
3/24/1901,1,3,26,2,85,13,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,113
3/25/1901,1,3,27,3,86,13,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,113
3/26/1901,1,3,28,4,87,13,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,113
3/27/1901,1,3,29,5,88,13,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,113
3/28/1901,1,3,30,6,89,13,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,113
3/29/1901,1,3,31,0,90,14,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,114
3/30/1901,1,4,1,1,91,14,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,114
3/31/1901,1,4,2,2,92,14,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,114
4/1/1901,1,4,3,3,93,14,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,114
4/2/1901,1,4,4,4,94,14,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,114
4/3/1901,1,4,5,5,95,14,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,114
4/4/1901,1,4,6,6,96,14,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,114
4/5/1901,1,4,7,0,97,15,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,115
4/6/1901,1,4,8,1,98,15,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,115
4/7/1901,1,4,9,2,99,15,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,115
4/8/1901,1,4,10,3,100,15,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,115
4/9/1901,1,4,11,4,101,15,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,115
4/10/1901,1,4,12,5,102,15,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,115
4/11/1901,1,4,13,6,103,15,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,115
4/12/1901,1,4,14,0,104,16,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,116
4/13/1901,1,4,15,1,105,16,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,116
4/14/1901,1,4,16,2,106,16,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,116
4/15/1901,1,4,17,3,107,16,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,116
4/16/1901,1,4,18,4,108,16,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,116
4/17/1901,1,4,19,5,109,16,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,116
4/18/1901,1,4,20,6,110,16,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,116
4/19/1901,1,4,21,0,111,17,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,117
4/20/1901,1,4,22,1,112,17,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,117
4/21/1901,1,4,23,2,113,17,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,117
4/22/1901,1,4,24,3,114,17,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,117
4/23/1901,1,4,25,4,115,17,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,117
4/24/1901,1,4,26,5,116,17,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,117
4/25/1901,1,4,27,6,117,17,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,117
4/26/1901,1,4,28,0,118,18,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,118
4/27/1901,1,4,29,1,119,18,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,118
4/28/1901,1,4,30,2,120,18,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,118
4/29/1901,1,5,1,3,121,18,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,118
4/30/1901,1,5,2,4,122,18,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,118
5/1/1901,1,5,3,5,123,18,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,118
5/2/1901,1,5,4,6,124,18,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,118
5/3/1901,1,5,5,0,125,19,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,119
5/4/1901,1,5,6,1,126,19,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,119
5/5/1901,1,5,7,2,127,19,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,119
5/6/1901,1,5,8,3,128,19,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,119
5/7/1901,1,5,9,4,129,19,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,119
5/8/1901,1,5,10,5,130,19,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,119
5/9/1901,1,5,11,6,131,19,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,119
5/10/1901,1,5,12,0,132,20,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,120
5/11/1901,1,5,13,1,133,20,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,120
5/12/1901,1,5,14,2,134,20,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,120
5/13/1901,1,5,15,3,135,20,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,120
5/14/1901,1,5,16,4,136,20,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,120
5/15/1901,1,5,17,5,137,20,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,120
5/16/1901,1,5,18,6,138,20,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,120
5/17/1901,1,5,19,0,139,21,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,121
5/18/1901,1,5,20,1,140,21,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,121
5/19/1901,1,5,21,2,141,21,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,121
5/20/1901,1,5,22,3,142,21,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,121
5/21/1901,1,5,23,4,143,21,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,121
5/22/1901,1,5,24,5,144,21,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,121
5/23/1901,1,5,25,6,145,21,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,121
5/24/1901,1,5,26,0,146,22,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,122
5/25/1901,1,5,27,1,147,22,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,122
5/26/1901,1,5,28,2,148,22,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,122
5/27/1901,1,5,29,3,149,22,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,122
5/28/1901,1,5,30,4,150,22,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,122
5/29/1901,1,5,31,5,151,22,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,122
5/30/1901,1,6,1,6,152,22,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,122
5/31/1901,1,6,2,0,153,23,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,123
6/1/1901,1,6,3,1,154,23,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,123
6/2/1901,1,6,4,2,155,23,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,123
6/3/1901,1,6,5,3,156,23,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,123
6/4/1901,1,6,6,4,157,23,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,123
6/5/1901,1,6,7,5,158,23,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,123
6/6/1901,1,6,8,6,159,23,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,123
6/7/1901,1,6,9,0,160,24,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,124
6/8/1901,1,6,10,1,161,24,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,124
6/9/1901,1,6,11,2,162,24,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,124
6/10/1901,1,6,12,3,163,24,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,124
6/11/1901,1,6,13,4,164,24,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,124
6/12/1901,1,6,14,5,165,24,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,124
6/13/1901,1,6,15,6,166,24,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,124
6/14/1901,1,6,16,0,167,25,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,125
6/15/1901,1,6,17,1,168,25,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,125
6/16/1901,1,6,18,2,169,25,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,125
6/17/1901,1,6,19,3,170,25,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,125
6/18/1901,1,6,20,4,171,25,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,125
6/19/1901,1,6,21,5,172,25,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,125
6/20/1901,1,6,22,6,173,25,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,125
6/21/1901,1,6,23,0,174,26,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,126
6/22/1901,1,6,24,1,175,26,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,126
6/23/1901,1,6,25,2,176,26,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,126
6/24/1901,1,6,26,3,177,26,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,126
6/25/1901,1,6,27,4,178,26,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,126
6/26/1901,1,6,28,5,179,26,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,126
6/27/1901,1,6,29,6,180,26,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,126
6/28/1901,1,6,30,0,181,27,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,127
6/29/1901,1,7,1,1,182,27,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,127
6/30/1901,1,7,2,2,183,27,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,127
7/1/1901,1,7,3,3,184,27,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,127
7/2/1901,1,7,4,4,185,27,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,127
7/3/1901,1,7,5,5,186,27,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,127
7/4/1901,1,7,6,6,187,27,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,127
7/5/1901,1,7,7,0,188,28,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,128
7/6/1901,1,7,8,1,189,28,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,128
7/7/1901,1,7,9,2,190,28,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,128
7/8/1901,1,7,10,3,191,28,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,128
7/9/1901,1,7,11,4,192,28,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,128
7/10/1901,1,7,12,5,193,28,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,128
7/11/1901,1,7,13,6,194,28,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,128
7/12/1901,1,7,14,0,195,29,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,129
7/13/1901,1,7,15,1,196,29,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,129
7/14/1901,1,7,16,2,197,29,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,129
7/15/1901,1,7,17,3,198,29,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,129
7/16/1901,1,7,18,4,199,29,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,129
7/17/1901,1,7,19,5,200,29,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,129
7/18/1901,1,7,20,6,201,29,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,129
7/19/1901,1,7,21,0,202,30,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,130
7/20/1901,1,7,22,1,203,30,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,130
7/21/1901,1,7,23,2,204,30,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,130
7/22/1901,1,7,24,3,205,30,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,130
7/23/1901,1,7,25,4,206,30,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,130
7/24/1901,1,7,26,5,207,30,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,130
7/25/1901,1,7,27,6,208,30,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,130
7/26/1901,1,7,28,0,209,31,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,131
7/27/1901,1,7,29,1,210,31,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,131
7/28/1901,1,7,30,2,211,31,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,131
7/29/1901,1,7,31,3,212,31,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,131
7/30/1901,1,8,1,4,213,31,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,131
7/31/1901,1,8,2,5,214,31,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,131
8/1/1901,1,8,3,6,215,31,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,131
8/2/1901,1,8,4,0,216,32,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,132
8/3/1901,1,8,5,1,217,32,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,132
8/4/1901,1,8,6,2,218,32,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,132
8/5/1901,1,8,7,3,219,32,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,132
8/6/1901,1,8,8,4,220,32,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,132
